"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.55285e+004,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-8.56126e+004,-3.42307e+002,-1.33450e-001,1.01833e+000,9.89394e+000,1.35275e+000,1.15950e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-8.56966e+004,-3.44614e+002,-2.66901e-001,2.03665e+000,1.97779e+001,2.69550e+000,1.31901e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-8.57807e+004,-3.46921e+002,-4.00351e-001,3.05498e+000,2.96618e+001,4.03826e+000,1.47851e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-8.58647e+004,-3.49228e+002,-5.33801e-001,4.07330e+000,3.95458e+001,5.38101e+000,1.63802e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-8.59488e+004,-3.51535e+002,-6.67251e-001,5.09163e+000,4.94297e+001,6.72376e+000,1.79752e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-8.60328e+004,-3.53842e+002,-8.00702e-001,6.10996e+000,5.93136e+001,8.06651e+000,1.95703e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-8.61169e+004,-3.56148e+002,-9.34152e-001,7.12828e+000,6.91976e+001,9.40927e+000,2.11653e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-8.62009e+004,-3.58455e+002,-1.06760e+000,8.14661e+000,7.90815e+001,1.07520e+001,2.27604e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-8.62849e+004,-3.60762e+002,-1.20105e+000,9.16493e+000,8.89654e+001,1.20948e+001,2.43554e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
-8.63690e+004,-3.63069e+002,-1.33450e+000,1.01833e+001,9.88494e+001,1.34375e+001,2.59505e+000,1,4.00000e+001,-1.96000e+003,0.00000e+000,0.00000e+000
-8.64530e+004,-3.65376e+002,-1.46795e+000,1.12016e+001,1.08733e+002,1.47803e+001,2.75455e+000,1,4.40000e+001,-1.95600e+003,0.00000e+000,0.00000e+000
-8.65371e+004,-3.67683e+002,-1.60140e+000,1.22199e+001,1.18617e+002,1.61230e+001,2.91406e+000,1,4.80000e+001,-1.95200e+003,0.00000e+000,0.00000e+000
-8.66211e+004,-3.69990e+002,-1.73485e+000,1.32382e+001,1.28501e+002,1.74658e+001,3.07356e+000,1,5.20000e+001,-1.94800e+003,0.00000e+000,0.00000e+000
-8.67052e+004,-3.72297e+002,-1.86830e+000,1.42566e+001,1.38385e+002,1.88085e+001,3.23307e+000,1,5.60000e+001,-1.94400e+003,0.00000e+000,0.00000e+000
-8.67892e+004,-3.74604e+002,-2.00175e+000,1.52749e+001,1.48269e+002,2.01513e+001,3.39257e+000,1,6.00000e+001,-1.94000e+003,0.00000e+000,0.00000e+000
-8.68733e+004,-3.76911e+002,-2.13520e+000,1.62932e+001,1.58153e+002,2.14940e+001,3.55208e+000,1,6.40000e+001,-1.93600e+003,0.00000e+000,0.00000e+000
-8.69573e+004,-3.79218e+002,-2.26865e+000,1.73115e+001,1.68037e+002,2.28368e+001,3.71158e+000,1,6.80000e+001,-1.93200e+003,0.00000e+000,0.00000e+000
-8.70414e+004,-3.81525e+002,-2.40210e+000,1.83299e+001,1.77921e+002,2.41795e+001,3.87109e+000,1,7.20000e+001,-1.92800e+003,0.00000e+000,0.00000e+000
-8.71254e+004,-3.83832e+002,-2.53556e+000,1.93482e+001,1.87805e+002,2.55223e+001,4.03059e+000,1,7.60000e+001,-1.92400e+003,0.00000e+000,0.00000e+000
