"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.59438e+004,-3.33288e+002,-4.39574e+000,9.96818e+000,8.67095e+001,1.57785e+001,2.67696e+000,1,1.32000e+002,-1.86800e+003,0.00000e+000,0.00000e+000
-8.60222e+004,-3.33012e+002,-3.24559e+000,7.63596e+000,7.64080e+001,1.45978e+001,2.54411e+000,1,1.36000e+002,-1.86400e+003,0.00000e+000,0.00000e+000
-8.61006e+004,-3.32735e+002,-2.09544e+000,5.30373e+000,6.61065e+001,1.34171e+001,2.41127e+000,1,1.40000e+002,-1.86000e+003,0.00000e+000,0.00000e+000
-8.61789e+004,-3.32459e+002,-9.45293e-001,2.97151e+000,5.58050e+001,1.22364e+001,2.27842e+000,1,1.44000e+002,-1.85600e+003,0.00000e+000,0.00000e+000
-8.62573e+004,-3.32182e+002,2.04856e-001,6.39285e-001,4.55035e+001,1.10557e+001,2.14558e+000,1,1.48000e+002,-1.85200e+003,0.00000e+000,0.00000e+000
-8.63357e+004,-3.31905e+002,1.35501e+000,-1.69294e+000,3.52020e+001,9.87502e+000,2.01273e+000,1,1.52000e+002,-1.84800e+003,0.00000e+000,0.00000e+000
-8.64140e+004,-3.31629e+002,2.50515e+000,-4.02517e+000,2.49005e+001,8.69432e+000,1.87988e+000,1,1.56000e+002,-1.84400e+003,0.00000e+000,0.00000e+000
-8.64924e+004,-3.31352e+002,3.65530e+000,-6.35739e+000,1.45989e+001,7.51362e+000,1.74704e+000,1,1.60000e+002,-1.84000e+003,0.00000e+000,0.00000e+000
-8.64772e+004,-3.31428e+002,3.50353e+000,-5.89231e+000,1.45326e+001,7.48503e+000,1.74572e+000,1,1.64000e+002,-1.83600e+003,0.00000e+000,0.00000e+000
-8.64620e+004,-3.31504e+002,3.35176e+000,-5.42723e+000,1.44662e+001,7.45644e+000,1.74441e+000,1,1.68000e+002,-1.83200e+003,0.00000e+000,0.00000e+000
-8.64468e+004,-3.31580e+002,3.19999e+000,-4.96214e+000,1.43998e+001,7.42785e+000,1.74309e+000,1,1.72000e+002,-1.82800e+003,0.00000e+000,0.00000e+000
-8.64316e+004,-3.31656e+002,3.04822e+000,-4.49706e+000,1.43334e+001,7.39926e+000,1.74178e+000,1,1.76000e+002,-1.82400e+003,0.00000e+000,0.00000e+000
-8.64164e+004,-3.31732e+002,2.89646e+000,-4.03198e+000,1.42670e+001,7.37067e+000,1.74047e+000,1,1.80000e+002,-1.82000e+003,0.00000e+000,0.00000e+000
-8.64012e+004,-3.31808e+002,2.74469e+000,-3.56690e+000,1.42006e+001,7.34208e+000,1.73915e+000,1,1.84000e+002,-1.81600e+003,0.00000e+000,0.00000e+000
-8.63860e+004,-3.31884e+002,2.59292e+000,-3.10182e+000,1.41342e+001,7.31349e+000,1.73784e+000,1,1.88000e+002,-1.81200e+003,0.00000e+000,0.00000e+000
-8.63708e+004,-3.31960e+002,2.44115e+000,-2.63673e+000,1.40678e+001,7.28490e+000,1.73652e+000,1,1.92000e+002,-1.80800e+003,0.00000e+000,0.00000e+000
-8.63556e+004,-3.32035e+002,2.28938e+000,-2.17165e+000,1.40014e+001,7.25631e+000,1.73521e+000,1,1.96000e+002,-1.80400e+003,0.00000e+000,0.00000e+000
-8.63404e+004,-3.32111e+002,2.13761e+000,-1.70657e+000,1.39351e+001,7.22771e+000,1.73389e+000,1,2.00000e+002,-1.80000e+003,0.00000e+000,0.00000e+000
