"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.88085e+004,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-8.87319e+004,-3.41767e+002,-4.63362e-002,1.27790e+000,4.00552e+000,7.54636e-001,1.17190e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-8.86552e+004,-3.43534e+002,-9.26724e-002,2.55580e+000,8.00103e+000,1.49927e+000,1.34381e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-8.85786e+004,-3.45302e+002,-1.39009e-001,3.83370e+000,1.19966e+001,2.24391e+000,1.51571e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-8.85019e+004,-3.47069e+002,-1.85345e-001,5.11160e+000,1.59921e+001,2.98854e+000,1.68762e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-8.84253e+004,-3.48836e+002,-2.31681e-001,6.38950e+000,1.99876e+001,3.73318e+000,1.85952e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-8.83486e+004,-3.50603e+002,-2.78017e-001,7.66740e+000,2.39831e+001,4.47782e+000,2.03143e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-8.82720e+004,-3.52370e+002,-3.24353e-001,8.94530e+000,2.79786e+001,5.22245e+000,2.20333e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-8.81953e+004,-3.54137e+002,-3.70690e-001,1.02232e+001,3.19741e+001,5.96709e+000,2.37524e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-8.81187e+004,-3.55904e+002,-4.17026e-001,1.15011e+001,3.59697e+001,6.71173e+000,2.54714e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
-8.80420e+004,-3.57672e+002,-4.63362e-001,1.27790e+001,3.99652e+001,7.45636e+000,2.71905e+000,1,4.00000e+001,-1.96000e+003,0.00000e+000,0.00000e+000
