"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.66457e+004,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-9.63377e+004,-3.37052e+002,5.25452e-001,6.22444e+000,1.59267e+001,1.73121e+000,1.22686e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-9.60297e+004,-3.34105e+002,1.05090e+000,1.24489e+001,3.18435e+001,3.45241e+000,1.45373e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-9.57217e+004,-3.31157e+002,1.57636e+000,1.86733e+001,4.77602e+001,5.17362e+000,1.68059e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-9.54137e+004,-3.28209e+002,2.10181e+000,2.48977e+001,6.36769e+001,6.89482e+000,1.90746e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-9.51056e+004,-3.25261e+002,2.62726e+000,3.11222e+001,7.95937e+001,8.61603e+000,2.13432e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-9.47976e+004,-3.22314e+002,3.15271e+000,3.73466e+001,9.55104e+001,1.03372e+001,2.36118e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-9.44896e+004,-3.19366e+002,3.67816e+000,4.35711e+001,1.11427e+002,1.20584e+001,2.58805e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-9.41816e+004,-3.16418e+002,4.20361e+000,4.97955e+001,1.27344e+002,1.37796e+001,2.81491e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-9.38736e+004,-3.13471e+002,4.72907e+000,5.60199e+001,1.43261e+002,1.55008e+001,3.04178e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
-9.35656e+004,-3.10523e+002,5.25452e+000,6.22444e+001,1.59177e+002,1.72221e+001,3.26864e+000,1,4.00000e+001,-1.96000e+003,0.00000e+000,0.00000e+000
-9.32576e+004,-3.07575e+002,5.77997e+000,6.84688e+001,1.75094e+002,1.89433e+001,3.49551e+000,1,4.40000e+001,-1.95600e+003,0.00000e+000,0.00000e+000
-9.29495e+004,-3.04627e+002,6.30542e+000,7.46932e+001,1.91011e+002,2.06645e+001,3.72237e+000,1,4.80000e+001,-1.95200e+003,0.00000e+000,0.00000e+000
-9.26415e+004,-3.01680e+002,6.83087e+000,8.09177e+001,2.06928e+002,2.23857e+001,3.94923e+000,1,5.20000e+001,-1.94800e+003,0.00000e+000,0.00000e+000
-9.23335e+004,-2.98732e+002,7.35633e+000,8.71421e+001,2.22844e+002,2.41069e+001,4.17610e+000,1,5.60000e+001,-1.94400e+003,0.00000e+000,0.00000e+000
-9.20255e+004,-2.95784e+002,7.88178e+000,9.33666e+001,2.38761e+002,2.58281e+001,4.40296e+000,1,6.00000e+001,-1.94000e+003,0.00000e+000,0.00000e+000
-9.17175e+004,-2.92837e+002,8.40723e+000,9.95910e+001,2.54678e+002,2.75493e+001,4.62983e+000,1,6.40000e+001,-1.93600e+003,0.00000e+000,0.00000e+000
-9.14095e+004,-2.89889e+002,8.93268e+000,1.05815e+002,2.70595e+002,2.92705e+001,4.85669e+000,1,6.80000e+001,-1.93200e+003,0.00000e+000,0.00000e+000
-9.11015e+004,-2.86941e+002,9.45813e+000,1.12040e+002,2.86511e+002,3.09917e+001,5.08355e+000,1,7.20000e+001,-1.92800e+003,0.00000e+000,0.00000e+000
-9.07935e+004,-2.83993e+002,9.98359e+000,1.18264e+002,3.02428e+002,3.27129e+001,5.31042e+000,1,7.60000e+001,-1.92400e+003,0.00000e+000,0.00000e+000
-9.04854e+004,-2.81046e+002,1.05090e+001,1.24489e+002,3.18345e+002,3.44341e+001,5.53728e+000,1,8.00000e+001,-1.92000e+003,0.00000e+000,0.00000e+000
-9.02185e+004,-2.84158e+002,9.41706e+000,1.18129e+002,3.03042e+002,3.31248e+001,5.34492e+000,1,8.40000e+001,-1.91600e+003,0.00000e+000,0.00000e+000
-8.99515e+004,-2.87269e+002,8.32508e+000,1.11770e+002,2.87739e+002,3.18154e+001,5.15255e+000,1,8.80000e+001,-1.91200e+003,0.00000e+000,0.00000e+000
-8.96845e+004,-2.90381e+002,7.23310e+000,1.05410e+002,2.72436e+002,3.05061e+001,4.96019e+000,1,9.20000e+001,-1.90800e+003,0.00000e+000,0.00000e+000
-8.94175e+004,-2.93493e+002,6.14112e+000,9.90503e+001,2.57133e+002,2.91967e+001,4.76782e+000,1,9.60000e+001,-1.90400e+003,0.00000e+000,0.00000e+000
-8.91505e+004,-2.96605e+002,5.04914e+000,9.26907e+001,2.41831e+002,2.78874e+001,4.57546e+000,1,1.00000e+002,-1.90000e+003,0.00000e+000,0.00000e+000
-8.88835e+004,-2.99716e+002,3.95716e+000,8.63311e+001,2.26528e+002,2.65780e+001,4.38309e+000,1,1.04000e+002,-1.89600e+003,0.00000e+000,0.00000e+000
-8.86165e+004,-3.02828e+002,2.86518e+000,7.99715e+001,2.11225e+002,2.52687e+001,4.19073e+000,1,1.08000e+002,-1.89200e+003,0.00000e+000,0.00000e+000
-8.83496e+004,-3.05940e+002,1.77320e+000,7.36119e+001,1.95922e+002,2.39593e+001,3.99836e+000,1,1.12000e+002,-1.88800e+003,0.00000e+000,0.00000e+000
-8.80826e+004,-3.09052e+002,6.81215e-001,6.72522e+001,1.80619e+002,2.26500e+001,3.80600e+000,1,1.16000e+002,-1.88400e+003,0.00000e+000,0.00000e+000
-8.78156e+004,-3.12163e+002,-4.10765e-001,6.08926e+001,1.65317e+002,2.13406e+001,3.61363e+000,1,1.20000e+002,-1.88000e+003,0.00000e+000,0.00000e+000
-8.75486e+004,-3.15275e+002,-1.50275e+000,5.45330e+001,1.50014e+002,2.00313e+001,3.42127e+000,1,1.24000e+002,-1.87600e+003,0.00000e+000,0.00000e+000
-8.72816e+004,-3.18387e+002,-2.59473e+000,4.81734e+001,1.34711e+002,1.87219e+001,3.22891e+000,1,1.28000e+002,-1.87200e+003,0.00000e+000,0.00000e+000
-8.70146e+004,-3.21499e+002,-3.68671e+000,4.18138e+001,1.19408e+002,1.74126e+001,3.03654e+000,1,1.32000e+002,-1.86800e+003,0.00000e+000,0.00000e+000
-8.67476e+004,-3.24611e+002,-4.77869e+000,3.54542e+001,1.04105e+002,1.61032e+001,2.84418e+000,1,1.36000e+002,-1.86400e+003,0.00000e+000,0.00000e+000
-8.64807e+004,-3.27722e+002,-5.87067e+000,2.90946e+001,8.88024e+001,1.47939e+001,2.65181e+000,1,1.40000e+002,-1.86000e+003,0.00000e+000,0.00000e+000
-8.62137e+004,-3.30834e+002,-6.96265e+000,2.27350e+001,7.34996e+001,1.34845e+001,2.45945e+000,1,1.44000e+002,-1.85600e+003,0.00000e+000,0.00000e+000
-8.59467e+004,-3.33946e+002,-8.05463e+000,1.63754e+001,5.81968e+001,1.21752e+001,2.26708e+000,1,1.48000e+002,-1.85200e+003,0.00000e+000,0.00000e+000
-8.56797e+004,-3.37058e+002,-9.14661e+000,1.00157e+001,4.28940e+001,1.08658e+001,2.07472e+000,1,1.52000e+002,-1.84800e+003,0.00000e+000,0.00000e+000
-8.54127e+004,-3.40169e+002,-1.02386e+001,3.65614e+000,2.75911e+001,9.55649e+000,1.88235e+000,1,1.56000e+002,-1.84400e+003,0.00000e+000,0.00000e+000
-8.51457e+004,-3.43281e+002,-1.13306e+001,-2.70348e+000,1.22883e+001,8.24714e+000,1.68999e+000,1,1.60000e+002,-1.84000e+003,0.00000e+000,0.00000e+000
-8.51637e+004,-3.42818e+002,-1.07643e+001,-1.87798e+000,1.18581e+001,7.92798e+000,1.68917e+000,1,1.64000e+002,-1.83600e+003,0.00000e+000,0.00000e+000
-8.51816e+004,-3.42356e+002,-1.01981e+001,-1.05248e+000,1.14278e+001,7.60882e+000,1.68836e+000,1,1.68000e+002,-1.83200e+003,0.00000e+000,0.00000e+000
-8.51996e+004,-3.41893e+002,-9.63190e+000,-2.26981e-001,1.09976e+001,7.28965e+000,1.68754e+000,1,1.72000e+002,-1.82800e+003,0.00000e+000,0.00000e+000
-8.52176e+004,-3.41430e+002,-9.06567e+000,5.98517e-001,1.05674e+001,6.97049e+000,1.68673e+000,1,1.76000e+002,-1.82400e+003,0.00000e+000,0.00000e+000
