"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.34476e+005,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-1.33734e+005,-3.42478e+002,-1.65564e+000,3.47314e+000,2.07518e+001,2.54436e+000,1.18422e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-1.32992e+005,-3.44957e+002,-3.31129e+000,6.94628e+000,4.14937e+001,5.07873e+000,1.36843e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-1.32250e+005,-3.47435e+002,-4.96693e+000,1.04194e+001,6.22355e+001,7.61309e+000,1.55265e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-1.31509e+005,-3.49914e+002,-6.62257e+000,1.38926e+001,8.29774e+001,1.01475e+001,1.73686e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-1.30767e+005,-3.52392e+002,-8.27822e+000,1.73657e+001,1.03719e+002,1.26818e+001,1.92108e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-1.30025e+005,-3.54870e+002,-9.93386e+000,2.08388e+001,1.24461e+002,1.52162e+001,2.10529e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-1.29284e+005,-3.57349e+002,-1.15895e+001,2.43120e+001,1.45203e+002,1.77505e+001,2.28951e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-1.28542e+005,-3.59827e+002,-1.32451e+001,2.77851e+001,1.65945e+002,2.02849e+001,2.47372e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-1.27800e+005,-3.62306e+002,-1.49008e+001,3.12583e+001,1.86687e+002,2.28193e+001,2.65794e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
-1.27059e+005,-3.64784e+002,-1.65564e+001,3.47314e+001,2.07428e+002,2.53536e+001,2.84215e+000,1,4.00000e+001,-1.96000e+003,0.00000e+000,0.00000e+000
-1.26317e+005,-3.67262e+002,-1.82121e+001,3.82045e+001,2.28170e+002,2.78880e+001,3.02637e+000,1,4.40000e+001,-1.95600e+003,0.00000e+000,0.00000e+000
-1.25575e+005,-3.69741e+002,-1.98677e+001,4.16777e+001,2.48912e+002,3.04224e+001,3.21058e+000,1,4.80000e+001,-1.95200e+003,0.00000e+000,0.00000e+000
-1.24834e+005,-3.72219e+002,-2.15234e+001,4.51508e+001,2.69654e+002,3.29567e+001,3.39480e+000,1,5.20000e+001,-1.94800e+003,0.00000e+000,0.00000e+000
-1.24092e+005,-3.74698e+002,-2.31790e+001,4.86240e+001,2.90396e+002,3.54911e+001,3.57901e+000,1,5.60000e+001,-1.94400e+003,0.00000e+000,0.00000e+000
-1.23350e+005,-3.77176e+002,-2.48346e+001,5.20971e+001,3.11138e+002,3.80254e+001,3.76323e+000,1,6.00000e+001,-1.94000e+003,0.00000e+000,0.00000e+000
-1.22609e+005,-3.79654e+002,-2.64903e+001,5.55702e+001,3.31880e+002,4.05598e+001,3.94744e+000,1,6.40000e+001,-1.93600e+003,0.00000e+000,0.00000e+000
-1.21867e+005,-3.82133e+002,-2.81459e+001,5.90434e+001,3.52621e+002,4.30942e+001,4.13166e+000,1,6.80000e+001,-1.93200e+003,0.00000e+000,0.00000e+000
-1.21125e+005,-3.84611e+002,-2.98016e+001,6.25165e+001,3.73363e+002,4.56285e+001,4.31587e+000,1,7.20000e+001,-1.92800e+003,0.00000e+000,0.00000e+000
-1.20384e+005,-3.87089e+002,-3.14572e+001,6.59897e+001,3.94105e+002,4.81629e+001,4.50009e+000,1,7.60000e+001,-1.92400e+003,0.00000e+000,0.00000e+000
-1.19642e+005,-3.89568e+002,-3.31129e+001,6.94628e+001,4.14847e+002,5.06973e+001,4.68430e+000,1,8.00000e+001,-1.92000e+003,0.00000e+000,0.00000e+000
-1.18527e+005,-3.84806e+002,-2.96851e+001,6.60611e+001,3.94815e+002,4.85538e+001,4.52853e+000,1,8.40000e+001,-1.91600e+003,0.00000e+000,0.00000e+000
-1.17413e+005,-3.80044e+002,-2.62573e+001,6.26595e+001,3.74784e+002,4.64103e+001,4.37276e+000,1,8.80000e+001,-1.91200e+003,0.00000e+000,0.00000e+000
-1.16298e+005,-3.75282e+002,-2.28295e+001,5.92578e+001,3.54752e+002,4.42668e+001,4.21699e+000,1,9.20000e+001,-1.90800e+003,0.00000e+000,0.00000e+000
-1.15183e+005,-3.70521e+002,-1.94017e+001,5.58561e+001,3.34720e+002,4.21233e+001,4.06122e+000,1,9.60000e+001,-1.90400e+003,0.00000e+000,0.00000e+000
-1.14069e+005,-3.65759e+002,-1.59739e+001,5.24544e+001,3.14688e+002,3.99799e+001,3.90545e+000,1,1.00000e+002,-1.90000e+003,0.00000e+000,0.00000e+000
-1.12954e+005,-3.60997e+002,-1.25461e+001,4.90528e+001,2.94657e+002,3.78364e+001,3.74968e+000,1,1.04000e+002,-1.89600e+003,0.00000e+000,0.00000e+000
-1.11840e+005,-3.56235e+002,-9.11832e+000,4.56511e+001,2.74625e+002,3.56929e+001,3.59391e+000,1,1.08000e+002,-1.89200e+003,0.00000e+000,0.00000e+000
-1.10725e+005,-3.51473e+002,-5.69053e+000,4.22494e+001,2.54593e+002,3.35494e+001,3.43814e+000,1,1.12000e+002,-1.88800e+003,0.00000e+000,0.00000e+000
-1.09611e+005,-3.46711e+002,-2.26274e+000,3.88477e+001,2.34562e+002,3.14060e+001,3.28236e+000,1,1.16000e+002,-1.88400e+003,0.00000e+000,0.00000e+000
-1.08496e+005,-3.41949e+002,1.16505e+000,3.54461e+001,2.14530e+002,2.92625e+001,3.12659e+000,1,1.20000e+002,-1.88000e+003,0.00000e+000,0.00000e+000
-1.07381e+005,-3.37188e+002,4.59285e+000,3.20444e+001,1.94498e+002,2.71190e+001,2.97082e+000,1,1.24000e+002,-1.87600e+003,0.00000e+000,0.00000e+000
-1.06267e+005,-3.32426e+002,8.02064e+000,2.86427e+001,1.74466e+002,2.49755e+001,2.81505e+000,1,1.28000e+002,-1.87200e+003,0.00000e+000,0.00000e+000
-1.05152e+005,-3.27664e+002,1.14484e+001,2.52411e+001,1.54435e+002,2.28320e+001,2.65928e+000,1,1.32000e+002,-1.86800e+003,0.00000e+000,0.00000e+000
-1.04038e+005,-3.22902e+002,1.48762e+001,2.18394e+001,1.34403e+002,2.06886e+001,2.50351e+000,1,1.36000e+002,-1.86400e+003,0.00000e+000,0.00000e+000
-1.02923e+005,-3.18140e+002,1.83040e+001,1.84377e+001,1.14371e+002,1.85451e+001,2.34774e+000,1,1.40000e+002,-1.86000e+003,0.00000e+000,0.00000e+000
-1.01808e+005,-3.13378e+002,2.17318e+001,1.50360e+001,9.43396e+001,1.64016e+001,2.19197e+000,1,1.44000e+002,-1.85600e+003,0.00000e+000,0.00000e+000
-1.00694e+005,-3.08617e+002,2.51596e+001,1.16344e+001,7.43079e+001,1.42581e+001,2.03620e+000,1,1.48000e+002,-1.85200e+003,0.00000e+000,0.00000e+000
-9.95792e+004,-3.03855e+002,2.85874e+001,8.23269e+000,5.42762e+001,1.21146e+001,1.88042e+000,1,1.52000e+002,-1.84800e+003,0.00000e+000,0.00000e+000
-9.84646e+004,-2.99093e+002,3.20152e+001,4.83101e+000,3.42445e+001,9.97117e+000,1.72465e+000,1,1.56000e+002,-1.84400e+003,0.00000e+000,0.00000e+000
-9.73500e+004,-2.94331e+002,3.54430e+001,1.42934e+000,1.42128e+001,7.82769e+000,1.56888e+000,1,1.60000e+002,-1.84000e+003,0.00000e+000,0.00000e+000
-9.68090e+004,-2.95078e+002,3.36002e+001,2.79524e+000,1.37605e+001,7.59457e+000,1.55602e+000,1,1.64000e+002,-1.83600e+003,0.00000e+000,0.00000e+000
-9.62680e+004,-2.95825e+002,3.17575e+001,4.16115e+000,1.33081e+001,7.36145e+000,1.54315e+000,1,1.68000e+002,-1.83200e+003,0.00000e+000,0.00000e+000
-9.57270e+004,-2.96572e+002,2.99147e+001,5.52706e+000,1.28558e+001,7.12834e+000,1.53029e+000,1,1.72000e+002,-1.82800e+003,0.00000e+000,0.00000e+000
-9.51860e+004,-2.97319e+002,2.80720e+001,6.89296e+000,1.24035e+001,6.89522e+000,1.51742e+000,1,1.76000e+002,-1.82400e+003,0.00000e+000,0.00000e+000
-9.46450e+004,-2.98066e+002,2.62292e+001,8.25887e+000,1.19512e+001,6.66210e+000,1.50455e+000,1,1.80000e+002,-1.82000e+003,0.00000e+000,0.00000e+000
-9.41041e+004,-2.98813e+002,2.43865e+001,9.62477e+000,1.14988e+001,6.42899e+000,1.49169e+000,1,1.84000e+002,-1.81600e+003,0.00000e+000,0.00000e+000
-9.35631e+004,-2.99559e+002,2.25437e+001,1.09907e+001,1.10465e+001,6.19587e+000,1.47882e+000,1,1.88000e+002,-1.81200e+003,0.00000e+000,0.00000e+000
-9.30221e+004,-3.00306e+002,2.07010e+001,1.23566e+001,1.05942e+001,5.96275e+000,1.46596e+000,1,1.92000e+002,-1.80800e+003,0.00000e+000,0.00000e+000
-9.24811e+004,-3.01053e+002,1.88582e+001,1.37225e+001,1.01419e+001,5.72964e+000,1.45309e+000,1,1.96000e+002,-1.80400e+003,0.00000e+000,0.00000e+000
-9.19401e+004,-3.01800e+002,1.70155e+001,1.50884e+001,9.68955e+000,5.49652e+000,1.44023e+000,1,2.00000e+002,-1.80000e+003,0.00000e+000,0.00000e+000
-9.13991e+004,-3.02547e+002,1.51727e+001,1.64543e+001,9.23723e+000,5.26340e+000,1.42736e+000,1,2.04000e+002,-1.79600e+003,0.00000e+000,0.00000e+000
-9.08581e+004,-3.03294e+002,1.33300e+001,1.78202e+001,8.78490e+000,5.03029e+000,1.41450e+000,1,2.08000e+002,-1.79200e+003,0.00000e+000,0.00000e+000
-9.03171e+004,-3.04041e+002,1.14872e+001,1.91861e+001,8.33258e+000,4.79717e+000,1.40163e+000,1,2.12000e+002,-1.78800e+003,0.00000e+000,0.00000e+000
-8.97761e+004,-3.04788e+002,9.64450e+000,2.05520e+001,7.88025e+000,4.56405e+000,1.38876e+000,1,2.16000e+002,-1.78400e+003,0.00000e+000,0.00000e+000
-8.92351e+004,-3.05535e+002,7.80175e+000,2.19179e+001,7.42793e+000,4.33094e+000,1.37590e+000,1,2.20000e+002,-1.78000e+003,0.00000e+000,0.00000e+000
-8.86941e+004,-3.06282e+002,5.95900e+000,2.32838e+001,6.97561e+000,4.09782e+000,1.36303e+000,1,2.24000e+002,-1.77600e+003,0.00000e+000,0.00000e+000
-8.81531e+004,-3.07029e+002,4.11625e+000,2.46497e+001,6.52328e+000,3.86470e+000,1.35017e+000,1,2.28000e+002,-1.77200e+003,0.00000e+000,0.00000e+000
-8.76121e+004,-3.07776e+002,2.27351e+000,2.60156e+001,6.07096e+000,3.63158e+000,1.33730e+000,1,2.32000e+002,-1.76800e+003,0.00000e+000,0.00000e+000
-8.70711e+004,-3.08523e+002,4.30759e-001,2.73815e+001,5.61863e+000,3.39847e+000,1.32444e+000,1,2.36000e+002,-1.76400e+003,0.00000e+000,0.00000e+000
-8.65301e+004,-3.09269e+002,-1.41199e+000,2.87475e+001,5.16631e+000,3.16535e+000,1.31157e+000,1,2.40000e+002,-1.76000e+003,0.00000e+000,0.00000e+000
-8.63490e+004,-3.09505e+002,-1.08961e+000,2.72635e+001,5.09620e+000,3.10431e+000,1.30978e+000,1,2.44000e+002,-1.75600e+003,0.00000e+000,0.00000e+000
-8.61679e+004,-3.09740e+002,-7.67238e-001,2.57795e+001,5.02609e+000,3.04328e+000,1.30798e+000,1,2.48000e+002,-1.75200e+003,0.00000e+000,0.00000e+000
-8.59868e+004,-3.09976e+002,-4.44862e-001,2.42955e+001,4.95599e+000,2.98224e+000,1.30619e+000,1,2.52000e+002,-1.74800e+003,0.00000e+000,0.00000e+000
-8.58057e+004,-3.10211e+002,-1.22486e-001,2.28115e+001,4.88588e+000,2.92120e+000,1.30439e+000,1,2.56000e+002,-1.74400e+003,0.00000e+000,0.00000e+000
-8.56245e+004,-3.10447e+002,1.99889e-001,2.13275e+001,4.81577e+000,2.86016e+000,1.30260e+000,1,2.60000e+002,-1.74000e+003,0.00000e+000,0.00000e+000
-8.54434e+004,-3.10682e+002,5.22265e-001,1.98435e+001,4.74566e+000,2.79913e+000,1.30080e+000,1,2.64000e+002,-1.73600e+003,0.00000e+000,0.00000e+000
-8.52623e+004,-3.10918e+002,8.44641e-001,1.83595e+001,4.67556e+000,2.73809e+000,1.29901e+000,1,2.68000e+002,-1.73200e+003,0.00000e+000,0.00000e+000
-8.50812e+004,-3.11153e+002,1.16702e+000,1.68755e+001,4.60545e+000,2.67705e+000,1.29721e+000,1,2.72000e+002,-1.72800e+003,0.00000e+000,0.00000e+000
-8.49001e+004,-3.11389e+002,1.48939e+000,1.53915e+001,4.53534e+000,2.61601e+000,1.29542e+000,1,2.76000e+002,-1.72400e+003,0.00000e+000,0.00000e+000
-8.47190e+004,-3.11624e+002,1.81177e+000,1.39074e+001,4.46523e+000,2.55498e+000,1.29363e+000,1,2.80000e+002,-1.72000e+003,0.00000e+000,0.00000e+000
-8.45379e+004,-3.11860e+002,2.13414e+000,1.24234e+001,4.39513e+000,2.49394e+000,1.29183e+000,1,2.84000e+002,-1.71600e+003,0.00000e+000,0.00000e+000
-8.43568e+004,-3.12095e+002,2.45652e+000,1.09394e+001,4.32502e+000,2.43290e+000,1.29004e+000,1,2.88000e+002,-1.71200e+003,0.00000e+000,0.00000e+000
-8.41757e+004,-3.12330e+002,2.77890e+000,9.45545e+000,4.25491e+000,2.37186e+000,1.28824e+000,1,2.92000e+002,-1.70800e+003,0.00000e+000,0.00000e+000
-8.39946e+004,-3.12566e+002,3.10127e+000,7.97145e+000,4.18481e+000,2.31082e+000,1.28645e+000,1,2.96000e+002,-1.70400e+003,0.00000e+000,0.00000e+000
-8.38135e+004,-3.12801e+002,3.42365e+000,6.48745e+000,4.11470e+000,2.24979e+000,1.28465e+000,1,3.00000e+002,-1.70000e+003,0.00000e+000,0.00000e+000
-8.36324e+004,-3.13037e+002,3.74602e+000,5.00345e+000,4.04459e+000,2.18875e+000,1.28286e+000,1,3.04000e+002,-1.69600e+003,0.00000e+000,0.00000e+000
-8.34513e+004,-3.13272e+002,4.06840e+000,3.51945e+000,3.97448e+000,2.12771e+000,1.28106e+000,1,3.08000e+002,-1.69200e+003,0.00000e+000,0.00000e+000
-8.32702e+004,-3.13508e+002,4.39077e+000,2.03545e+000,3.90438e+000,2.06667e+000,1.27927e+000,1,3.12000e+002,-1.68800e+003,0.00000e+000,0.00000e+000
-8.30891e+004,-3.13743e+002,4.71315e+000,5.51445e-001,3.83427e+000,2.00564e+000,1.27747e+000,1,3.16000e+002,-1.68400e+003,0.00000e+000,0.00000e+000
-8.29080e+004,-3.13979e+002,5.03553e+000,-9.32556e-001,3.76416e+000,1.94460e+000,1.27568e+000,1,3.20000e+002,-1.68000e+003,0.00000e+000,0.00000e+000
-8.29084e+004,-3.13637e+002,4.93744e+000,-7.31215e-001,3.76448e+000,1.94066e+000,1.27532e+000,1,3.24000e+002,-1.67600e+003,0.00000e+000,0.00000e+000
-8.29088e+004,-3.13296e+002,4.83936e+000,-5.29875e-001,3.76480e+000,1.93673e+000,1.27497e+000,1,3.28000e+002,-1.67200e+003,0.00000e+000,0.00000e+000
-8.29091e+004,-3.12954e+002,4.74128e+000,-3.28534e-001,3.76512e+000,1.93279e+000,1.27461e+000,1,3.32000e+002,-1.66800e+003,0.00000e+000,0.00000e+000
-8.29095e+004,-3.12613e+002,4.64320e+000,-1.27193e-001,3.76544e+000,1.92885e+000,1.27425e+000,1,3.36000e+002,-1.66400e+003,0.00000e+000,0.00000e+000
-8.29099e+004,-3.12271e+002,4.54512e+000,7.41472e-002,3.76576e+000,1.92492e+000,1.27390e+000,1,3.40000e+002,-1.66000e+003,0.00000e+000,0.00000e+000
-8.29103e+004,-3.11929e+002,4.44704e+000,2.75488e-001,3.76609e+000,1.92098e+000,1.27354e+000,1,3.44000e+002,-1.65600e+003,0.00000e+000,0.00000e+000
-8.29106e+004,-3.11588e+002,4.34896e+000,4.76828e-001,3.76641e+000,1.91704e+000,1.27318e+000,1,3.48000e+002,-1.65200e+003,0.00000e+000,0.00000e+000
-8.29110e+004,-3.11246e+002,4.25088e+000,6.78169e-001,3.76673e+000,1.91311e+000,1.27283e+000,1,3.52000e+002,-1.64800e+003,0.00000e+000,0.00000e+000
-8.29114e+004,-3.10905e+002,4.15279e+000,8.79510e-001,3.76705e+000,1.90917e+000,1.27247e+000,1,3.56000e+002,-1.64400e+003,0.00000e+000,0.00000e+000
-8.29118e+004,-3.10563e+002,4.05471e+000,1.08085e+000,3.76737e+000,1.90523e+000,1.27211e+000,1,3.60000e+002,-1.64000e+003,0.00000e+000,0.00000e+000
-8.29121e+004,-3.10222e+002,3.95663e+000,1.28219e+000,3.76769e+000,1.90130e+000,1.27176e+000,1,3.64000e+002,-1.63600e+003,0.00000e+000,0.00000e+000
-8.29125e+004,-3.09880e+002,3.85855e+000,1.48353e+000,3.76801e+000,1.89736e+000,1.27140e+000,1,3.68000e+002,-1.63200e+003,0.00000e+000,0.00000e+000
-8.29129e+004,-3.09539e+002,3.76047e+000,1.68487e+000,3.76833e+000,1.89342e+000,1.27104e+000,1,3.72000e+002,-1.62800e+003,0.00000e+000,0.00000e+000
-8.29132e+004,-3.09197e+002,3.66239e+000,1.88621e+000,3.76865e+000,1.88949e+000,1.27069e+000,1,3.76000e+002,-1.62400e+003,0.00000e+000,0.00000e+000
-8.29136e+004,-3.08856e+002,3.56431e+000,2.08755e+000,3.76897e+000,1.88555e+000,1.27033e+000,1,3.80000e+002,-1.62000e+003,0.00000e+000,0.00000e+000
-8.29140e+004,-3.08514e+002,3.46623e+000,2.28889e+000,3.76929e+000,1.88161e+000,1.26997e+000,1,3.84000e+002,-1.61600e+003,0.00000e+000,0.00000e+000
-8.29144e+004,-3.08172e+002,3.36815e+000,2.49023e+000,3.76961e+000,1.87768e+000,1.26962e+000,1,3.88000e+002,-1.61200e+003,0.00000e+000,0.00000e+000
-8.29147e+004,-3.07831e+002,3.27006e+000,2.69158e+000,3.76993e+000,1.87374e+000,1.26926e+000,1,3.92000e+002,-1.60800e+003,0.00000e+000,0.00000e+000
-8.29151e+004,-3.07489e+002,3.17198e+000,2.89292e+000,3.77026e+000,1.86980e+000,1.26890e+000,1,3.96000e+002,-1.60400e+003,0.00000e+000,0.00000e+000
-8.29155e+004,-3.07148e+002,3.07390e+000,3.09426e+000,3.77058e+000,1.86587e+000,1.26854e+000,1,4.00000e+002,-1.60000e+003,0.00000e+000,0.00000e+000
-8.29420e+004,-3.07135e+002,2.98451e+000,3.09436e+000,3.77239e+000,1.86442e+000,1.27010e+000,1,4.04000e+002,-1.59600e+003,0.00000e+000,0.00000e+000
-8.29684e+004,-3.07122e+002,2.89513e+000,3.09447e+000,3.77420e+000,1.86297e+000,1.27166e+000,1,4.08000e+002,-1.59200e+003,0.00000e+000,0.00000e+000
-8.29949e+004,-3.07110e+002,2.80574e+000,3.09458e+000,3.77601e+000,1.86152e+000,1.27322e+000,1,4.12000e+002,-1.58800e+003,0.00000e+000,0.00000e+000
-8.30214e+004,-3.07097e+002,2.71635e+000,3.09468e+000,3.77782e+000,1.86007e+000,1.27478e+000,1,4.16000e+002,-1.58400e+003,0.00000e+000,0.00000e+000
-8.30479e+004,-3.07084e+002,2.62697e+000,3.09479e+000,3.77963e+000,1.85863e+000,1.27634e+000,1,4.20000e+002,-1.58000e+003,0.00000e+000,0.00000e+000
-8.30743e+004,-3.07072e+002,2.53758e+000,3.09489e+000,3.78144e+000,1.85718e+000,1.27790e+000,1,4.24000e+002,-1.57600e+003,0.00000e+000,0.00000e+000
-8.31008e+004,-3.07059e+002,2.44819e+000,3.09500e+000,3.78325e+000,1.85573e+000,1.27946e+000,1,4.28000e+002,-1.57200e+003,0.00000e+000,0.00000e+000
-8.31273e+004,-3.07046e+002,2.35880e+000,3.09511e+000,3.78506e+000,1.85428e+000,1.28102e+000,1,4.32000e+002,-1.56800e+003,0.00000e+000,0.00000e+000
-8.31537e+004,-3.07034e+002,2.26942e+000,3.09521e+000,3.78687e+000,1.85284e+000,1.28258e+000,1,4.36000e+002,-1.56400e+003,0.00000e+000,0.00000e+000
-8.31802e+004,-3.07021e+002,2.18003e+000,3.09532e+000,3.78868e+000,1.85139e+000,1.28414e+000,1,4.40000e+002,-1.56000e+003,0.00000e+000,0.00000e+000
-8.32067e+004,-3.07008e+002,2.09064e+000,3.09543e+000,3.79049e+000,1.84994e+000,1.28570e+000,1,4.44000e+002,-1.55600e+003,0.00000e+000,0.00000e+000
-8.32332e+004,-3.06995e+002,2.00126e+000,3.09553e+000,3.79230e+000,1.84849e+000,1.28726e+000,1,4.48000e+002,-1.55200e+003,0.00000e+000,0.00000e+000
-8.32596e+004,-3.06983e+002,1.91187e+000,3.09564e+000,3.79411e+000,1.84705e+000,1.28882e+000,1,4.52000e+002,-1.54800e+003,0.00000e+000,0.00000e+000
-8.32861e+004,-3.06970e+002,1.82248e+000,3.09574e+000,3.79592e+000,1.84560e+000,1.29038e+000,1,4.56000e+002,-1.54400e+003,0.00000e+000,0.00000e+000
-8.33126e+004,-3.06957e+002,1.73309e+000,3.09585e+000,3.79773e+000,1.84415e+000,1.29194e+000,1,4.60000e+002,-1.54000e+003,0.00000e+000,0.00000e+000
-8.33391e+004,-3.06945e+002,1.64371e+000,3.09596e+000,3.79954e+000,1.84270e+000,1.29350e+000,1,4.64000e+002,-1.53600e+003,0.00000e+000,0.00000e+000
