"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.49271e+005,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-1.48566e+005,-3.34690e+002,3.55922e+000,4.88185e+000,7.57278e-002,1.69979e-002,1.30388e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-1.47861e+005,-3.29381e+002,7.11845e+000,9.76371e+000,1.41456e-001,2.39958e-002,1.60776e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-1.47156e+005,-3.24071e+002,1.06777e+001,1.46456e+001,2.07183e-001,3.09938e-002,1.91164e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-1.46451e+005,-3.18761e+002,1.42369e+001,1.95274e+001,2.72911e-001,3.79917e-002,2.21552e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-1.45746e+005,-3.13452e+002,1.77961e+001,2.44093e+001,3.38639e-001,4.49896e-002,2.51939e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-1.45041e+005,-3.08142e+002,2.13553e+001,2.92911e+001,4.04367e-001,5.19875e-002,2.82327e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-1.44336e+005,-3.02832e+002,2.49146e+001,3.41730e+001,4.70094e-001,5.89854e-002,3.12715e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-1.43631e+005,-2.97523e+002,2.84738e+001,3.90548e+001,5.35822e-001,6.59833e-002,3.43103e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-1.42926e+005,-2.92213e+002,3.20330e+001,4.39367e+001,6.01550e-001,7.29813e-002,3.73491e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
-1.42221e+005,-2.86903e+002,3.55922e+001,4.88185e+001,6.67278e-001,7.99792e-002,4.03879e+000,1,4.00000e+001,-1.96000e+003,0.00000e+000,0.00000e+000
-1.41516e+005,-2.81593e+002,3.91515e+001,5.37004e+001,7.33006e-001,8.69771e-002,4.34267e+000,1,4.40000e+001,-1.95600e+003,0.00000e+000,0.00000e+000
