"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.80484e+004,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-8.82025e+004,-3.38749e+002,7.58391e-001,1.14025e+000,2.82360e-001,6.48142e-002,1.15853e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-8.83566e+004,-3.37498e+002,1.51678e+000,2.28051e+000,5.54721e-001,1.19628e-001,1.31706e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-8.85106e+004,-3.36247e+002,2.27517e+000,3.42076e+000,8.27081e-001,1.74443e-001,1.47559e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-8.86647e+004,-3.34996e+002,3.03357e+000,4.56101e+000,1.09944e+000,2.29257e-001,1.63412e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-8.88188e+004,-3.33745e+002,3.79196e+000,5.70127e+000,1.37180e+000,2.84071e-001,1.79265e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-8.89729e+004,-3.32494e+002,4.55035e+000,6.84152e+000,1.64416e+000,3.38885e-001,1.95118e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-8.91269e+004,-3.31243e+002,5.30874e+000,7.98178e+000,1.91652e+000,3.93699e-001,2.10971e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-8.92810e+004,-3.29992e+002,6.06713e+000,9.12203e+000,2.18888e+000,4.48513e-001,2.26824e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-8.94351e+004,-3.28741e+002,6.82552e+000,1.02623e+001,2.46124e+000,5.03328e-001,2.42677e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
-8.95892e+004,-3.27490e+002,7.58391e+000,1.14025e+001,2.73360e+000,5.58142e-001,2.58530e+000,1,4.00000e+001,-1.96000e+003,0.00000e+000,0.00000e+000
-8.97432e+004,-3.26239e+002,8.34230e+000,1.25428e+001,3.00596e+000,6.12956e-001,2.74383e+000,1,4.40000e+001,-1.95600e+003,0.00000e+000,0.00000e+000
-8.98973e+004,-3.24988e+002,9.10070e+000,1.36830e+001,3.27832e+000,6.67770e-001,2.90236e+000,1,4.80000e+001,-1.95200e+003,0.00000e+000,0.00000e+000
-9.00514e+004,-3.23737e+002,9.85909e+000,1.48233e+001,3.55069e+000,7.22584e-001,3.06089e+000,1,5.20000e+001,-1.94800e+003,0.00000e+000,0.00000e+000
-9.02055e+004,-3.22486e+002,1.06175e+001,1.59636e+001,3.82305e+000,7.77398e-001,3.21942e+000,1,5.60000e+001,-1.94400e+003,0.00000e+000,0.00000e+000
-9.03595e+004,-3.21235e+002,1.13759e+001,1.71038e+001,4.09541e+000,8.32213e-001,3.37795e+000,1,6.00000e+001,-1.94000e+003,0.00000e+000,0.00000e+000
-9.05136e+004,-3.19984e+002,1.21343e+001,1.82441e+001,4.36777e+000,8.87027e-001,3.53648e+000,1,6.40000e+001,-1.93600e+003,0.00000e+000,0.00000e+000
-9.06677e+004,-3.18733e+002,1.28927e+001,1.93843e+001,4.64013e+000,9.41841e-001,3.69501e+000,1,6.80000e+001,-1.93200e+003,0.00000e+000,0.00000e+000
-9.08218e+004,-3.17482e+002,1.36510e+001,2.05246e+001,4.91249e+000,9.96655e-001,3.85354e+000,1,7.20000e+001,-1.92800e+003,0.00000e+000,0.00000e+000
-9.09758e+004,-3.16231e+002,1.44094e+001,2.16648e+001,5.18485e+000,1.05147e+000,4.01207e+000,1,7.60000e+001,-1.92400e+003,0.00000e+000,0.00000e+000
-9.11299e+004,-3.14980e+002,1.51678e+001,2.28051e+001,5.45721e+000,1.10628e+000,4.17060e+000,1,8.00000e+001,-1.92000e+003,0.00000e+000,0.00000e+000
-9.12212e+004,-3.14355e+002,1.41835e+001,2.12703e+001,5.42291e+000,1.11219e+000,4.10553e+000,1,8.40000e+001,-1.91600e+003,0.00000e+000,0.00000e+000
-9.13124e+004,-3.13730e+002,1.31992e+001,1.97355e+001,5.38861e+000,1.11811e+000,4.04047e+000,1,8.80000e+001,-1.91200e+003,0.00000e+000,0.00000e+000
-9.14036e+004,-3.13105e+002,1.22149e+001,1.82008e+001,5.35431e+000,1.12402e+000,3.97540e+000,1,9.20000e+001,-1.90800e+003,0.00000e+000,0.00000e+000
-9.14949e+004,-3.12480e+002,1.12306e+001,1.66660e+001,5.32002e+000,1.12993e+000,3.91034e+000,1,9.60000e+001,-1.90400e+003,0.00000e+000,0.00000e+000
-9.15861e+004,-3.11855e+002,1.02463e+001,1.51312e+001,5.28572e+000,1.13584e+000,3.84528e+000,1,1.00000e+002,-1.90000e+003,0.00000e+000,0.00000e+000
-9.16774e+004,-3.11230e+002,9.26203e+000,1.35965e+001,5.25142e+000,1.14175e+000,3.78021e+000,1,1.04000e+002,-1.89600e+003,0.00000e+000,0.00000e+000
-9.17686e+004,-3.10605e+002,8.27773e+000,1.20617e+001,5.21712e+000,1.14766e+000,3.71515e+000,1,1.08000e+002,-1.89200e+003,0.00000e+000,0.00000e+000
-9.18598e+004,-3.09980e+002,7.29343e+000,1.05269e+001,5.18283e+000,1.15357e+000,3.65008e+000,1,1.12000e+002,-1.88800e+003,0.00000e+000,0.00000e+000
-9.19511e+004,-3.09355e+002,6.30913e+000,8.99218e+000,5.14853e+000,1.15948e+000,3.58502e+000,1,1.16000e+002,-1.88400e+003,0.00000e+000,0.00000e+000
-9.20423e+004,-3.08730e+002,5.32483e+000,7.45742e+000,5.11423e+000,1.16539e+000,3.51996e+000,1,1.20000e+002,-1.88000e+003,0.00000e+000,0.00000e+000
