"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.62807e+004,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-8.61308e+004,-3.39644e+002,9.82727e-001,3.09648e+000,1.40381e+001,1.54194e+000,1.26248e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-8.59810e+004,-3.39289e+002,1.96545e+000,6.19296e+000,2.80662e+001,3.07389e+000,1.52496e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-8.58312e+004,-3.38933e+002,2.94818e+000,9.28944e+000,4.20943e+001,4.60583e+000,1.78743e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-8.56813e+004,-3.38578e+002,3.93091e+000,1.23859e+001,5.61224e+001,6.13777e+000,2.04991e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-8.55315e+004,-3.38222e+002,4.91364e+000,1.54824e+001,7.01505e+001,7.66972e+000,2.31239e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-8.53817e+004,-3.37867e+002,5.89636e+000,1.85789e+001,8.41786e+001,9.20166e+000,2.57487e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-8.52318e+004,-3.37511e+002,6.87909e+000,2.16754e+001,9.82067e+001,1.07336e+001,2.83735e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-8.50820e+004,-3.37156e+002,7.86182e+000,2.47718e+001,1.12235e+002,1.22655e+001,3.09983e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-8.49322e+004,-3.36800e+002,8.84455e+000,2.78683e+001,1.26263e+002,1.37975e+001,3.36230e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
-8.47823e+004,-3.36445e+002,9.82727e+000,3.09648e+001,1.40291e+002,1.53294e+001,3.62478e+000,1,4.00000e+001,-1.96000e+003,0.00000e+000,0.00000e+000
-8.46325e+004,-3.36089e+002,1.08100e+001,3.40613e+001,1.54319e+002,1.68614e+001,3.88726e+000,1,4.40000e+001,-1.95600e+003,0.00000e+000,0.00000e+000
-8.44827e+004,-3.35734e+002,1.17927e+001,3.71577e+001,1.68347e+002,1.83933e+001,4.14974e+000,1,4.80000e+001,-1.95200e+003,0.00000e+000,0.00000e+000
-8.43328e+004,-3.35378e+002,1.27755e+001,4.02542e+001,1.82375e+002,1.99253e+001,4.41222e+000,1,5.20000e+001,-1.94800e+003,0.00000e+000,0.00000e+000
-8.41830e+004,-3.35023e+002,1.37582e+001,4.33507e+001,1.96403e+002,2.14572e+001,4.67469e+000,1,5.60000e+001,-1.94400e+003,0.00000e+000,0.00000e+000
-8.40332e+004,-3.34667e+002,1.47409e+001,4.64472e+001,2.10432e+002,2.29891e+001,4.93717e+000,1,6.00000e+001,-1.94000e+003,0.00000e+000,0.00000e+000
-8.38833e+004,-3.34311e+002,1.57236e+001,4.95437e+001,2.24460e+002,2.45211e+001,5.19965e+000,1,6.40000e+001,-1.93600e+003,0.00000e+000,0.00000e+000
-8.37335e+004,-3.33956e+002,1.67064e+001,5.26401e+001,2.38488e+002,2.60530e+001,5.46213e+000,1,6.80000e+001,-1.93200e+003,0.00000e+000,0.00000e+000
-8.35837e+004,-3.33600e+002,1.76891e+001,5.57366e+001,2.52516e+002,2.75850e+001,5.72461e+000,1,7.20000e+001,-1.92800e+003,0.00000e+000,0.00000e+000
-8.34339e+004,-3.33245e+002,1.86718e+001,5.88331e+001,2.66544e+002,2.91169e+001,5.98709e+000,1,7.60000e+001,-1.92400e+003,0.00000e+000,0.00000e+000
-8.32840e+004,-3.32889e+002,1.96545e+001,6.19296e+001,2.80572e+002,3.06489e+001,6.24956e+000,1,8.00000e+001,-1.92000e+003,0.00000e+000,0.00000e+000
-8.32288e+004,-3.34798e+002,1.83808e+001,5.86033e+001,2.67805e+002,2.96016e+001,6.03793e+000,1,8.40000e+001,-1.91600e+003,0.00000e+000,0.00000e+000
-8.31735e+004,-3.36706e+002,1.71072e+001,5.52770e+001,2.55038e+002,2.85544e+001,5.82629e+000,1,8.80000e+001,-1.91200e+003,0.00000e+000,0.00000e+000
-8.31182e+004,-3.38615e+002,1.58335e+001,5.19507e+001,2.42271e+002,2.75071e+001,5.61465e+000,1,9.20000e+001,-1.90800e+003,0.00000e+000,0.00000e+000
-8.30630e+004,-3.40523e+002,1.45598e+001,4.86244e+001,2.29504e+002,2.64599e+001,5.40301e+000,1,9.60000e+001,-1.90400e+003,0.00000e+000,0.00000e+000
-8.30077e+004,-3.42432e+002,1.32861e+001,4.52981e+001,2.16737e+002,2.54126e+001,5.19137e+000,1,1.00000e+002,-1.90000e+003,0.00000e+000,0.00000e+000
-8.29525e+004,-3.44340e+002,1.20124e+001,4.19718e+001,2.03969e+002,2.43654e+001,4.97973e+000,1,1.04000e+002,-1.89600e+003,0.00000e+000,0.00000e+000
-8.28972e+004,-3.46248e+002,1.07387e+001,3.86455e+001,1.91202e+002,2.33181e+001,4.76809e+000,1,1.08000e+002,-1.89200e+003,0.00000e+000,0.00000e+000
-8.28419e+004,-3.48157e+002,9.46497e+000,3.53192e+001,1.78435e+002,2.22708e+001,4.55645e+000,1,1.12000e+002,-1.88800e+003,0.00000e+000,0.00000e+000
-8.27867e+004,-3.50065e+002,8.19127e+000,3.19929e+001,1.65668e+002,2.12236e+001,4.34482e+000,1,1.16000e+002,-1.88400e+003,0.00000e+000,0.00000e+000
-8.27314e+004,-3.51974e+002,6.91757e+000,2.86666e+001,1.52901e+002,2.01763e+001,4.13318e+000,1,1.20000e+002,-1.88000e+003,0.00000e+000,0.00000e+000
-8.26761e+004,-3.53882e+002,5.64387e+000,2.53403e+001,1.40134e+002,1.91291e+001,3.92154e+000,1,1.24000e+002,-1.87600e+003,0.00000e+000,0.00000e+000
-8.26209e+004,-3.55791e+002,4.37018e+000,2.20140e+001,1.27367e+002,1.80818e+001,3.70990e+000,1,1.28000e+002,-1.87200e+003,0.00000e+000,0.00000e+000
-8.25656e+004,-3.57699e+002,3.09648e+000,1.86877e+001,1.14600e+002,1.70346e+001,3.49826e+000,1,1.32000e+002,-1.86800e+003,0.00000e+000,0.00000e+000
-8.25104e+004,-3.59608e+002,1.82278e+000,1.53614e+001,1.01833e+002,1.59873e+001,3.28662e+000,1,1.36000e+002,-1.86400e+003,0.00000e+000,0.00000e+000
-8.24551e+004,-3.61516e+002,5.49085e-001,1.20351e+001,8.90655e+001,1.49401e+001,3.07498e+000,1,1.40000e+002,-1.86000e+003,0.00000e+000,0.00000e+000
-8.23998e+004,-3.63425e+002,-7.24612e-001,8.70878e+000,7.62984e+001,1.38928e+001,2.86335e+000,1,1.44000e+002,-1.85600e+003,0.00000e+000,0.00000e+000
-8.23446e+004,-3.65333e+002,-1.99831e+000,5.38247e+000,6.35313e+001,1.28456e+001,2.65171e+000,1,1.48000e+002,-1.85200e+003,0.00000e+000,0.00000e+000
-8.22893e+004,-3.67241e+002,-3.27201e+000,2.05617e+000,5.07641e+001,1.17983e+001,2.44007e+000,1,1.52000e+002,-1.84800e+003,0.00000e+000,0.00000e+000
-8.22341e+004,-3.69150e+002,-4.54570e+000,-1.27013e+000,3.79970e+001,1.07511e+001,2.22843e+000,1,1.56000e+002,-1.84400e+003,0.00000e+000,0.00000e+000
-8.21788e+004,-3.71058e+002,-5.81940e+000,-4.59643e+000,2.52299e+001,9.70382e+000,2.01679e+000,1,1.60000e+002,-1.84000e+003,0.00000e+000,0.00000e+000
-8.22840e+004,-3.70665e+002,-5.49487e+000,-4.09269e+000,2.51530e+001,9.65317e+000,2.01383e+000,1,1.64000e+002,-1.83600e+003,0.00000e+000,0.00000e+000
-8.23891e+004,-3.70272e+002,-5.17033e+000,-3.58896e+000,2.50761e+001,9.60252e+000,2.01088e+000,1,1.68000e+002,-1.83200e+003,0.00000e+000,0.00000e+000
-8.24943e+004,-3.69879e+002,-4.84580e+000,-3.08522e+000,2.49992e+001,9.55187e+000,2.00792e+000,1,1.72000e+002,-1.82800e+003,0.00000e+000,0.00000e+000
-8.25995e+004,-3.69485e+002,-4.52127e+000,-2.58149e+000,2.49223e+001,9.50122e+000,2.00496e+000,1,1.76000e+002,-1.82400e+003,0.00000e+000,0.00000e+000
-8.27047e+004,-3.69092e+002,-4.19673e+000,-2.07775e+000,2.48454e+001,9.45057e+000,2.00200e+000,1,1.80000e+002,-1.82000e+003,0.00000e+000,0.00000e+000
-8.28098e+004,-3.68699e+002,-3.87220e+000,-1.57402e+000,2.47685e+001,9.39992e+000,1.99905e+000,1,1.84000e+002,-1.81600e+003,0.00000e+000,0.00000e+000
-8.29150e+004,-3.68306e+002,-3.54767e+000,-1.07028e+000,2.46916e+001,9.34927e+000,1.99609e+000,1,1.88000e+002,-1.81200e+003,0.00000e+000,0.00000e+000
