"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.98786e+004,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-8.96653e+004,-3.40895e+002,1.53088e+000,1.45890e+000,9.88510e+000,9.22826e-001,1.29326e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-8.94520e+004,-3.41790e+002,3.06176e+000,2.91781e+000,1.97602e+001,1.83565e+000,1.58653e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-8.92387e+004,-3.42685e+002,4.59264e+000,4.37671e+000,2.96353e+001,2.74848e+000,1.87980e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-8.90255e+004,-3.43581e+002,6.12352e+000,5.83562e+000,3.95104e+001,3.66130e+000,2.17306e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-8.88122e+004,-3.44476e+002,7.65440e+000,7.29452e+000,4.93855e+001,4.57413e+000,2.46633e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-8.85989e+004,-3.45371e+002,9.18528e+000,8.75343e+000,5.92606e+001,5.48696e+000,2.75959e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-8.83856e+004,-3.46266e+002,1.07162e+001,1.02123e+001,6.91357e+001,6.39978e+000,3.05286e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-8.81723e+004,-3.47161e+002,1.22470e+001,1.16712e+001,7.90108e+001,7.31261e+000,3.34612e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-8.79591e+004,-3.48056e+002,1.37779e+001,1.31301e+001,8.88859e+001,8.22543e+000,3.63938e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
-8.77458e+004,-3.48952e+002,1.53088e+001,1.45890e+001,9.87610e+001,9.13826e+000,3.93265e+000,1,4.00000e+001,-1.96000e+003,0.00000e+000,0.00000e+000
-8.75325e+004,-3.49847e+002,1.68397e+001,1.60480e+001,1.08636e+002,1.00511e+001,4.22591e+000,1,4.40000e+001,-1.95600e+003,0.00000e+000,0.00000e+000
-8.73192e+004,-3.50742e+002,1.83706e+001,1.75069e+001,1.18511e+002,1.09639e+001,4.51918e+000,1,4.80000e+001,-1.95200e+003,0.00000e+000,0.00000e+000
-8.71059e+004,-3.51637e+002,1.99014e+001,1.89658e+001,1.28386e+002,1.18767e+001,4.81245e+000,1,5.20000e+001,-1.94800e+003,0.00000e+000,0.00000e+000
-8.68927e+004,-3.52532e+002,2.14323e+001,2.04247e+001,1.38261e+002,1.27896e+001,5.10571e+000,1,5.60000e+001,-1.94400e+003,0.00000e+000,0.00000e+000
-8.66794e+004,-3.53427e+002,2.29632e+001,2.18836e+001,1.48136e+002,1.37024e+001,5.39898e+000,1,6.00000e+001,-1.94000e+003,0.00000e+000,0.00000e+000
-8.64661e+004,-3.54323e+002,2.44941e+001,2.33425e+001,1.58012e+002,1.46152e+001,5.69224e+000,1,6.40000e+001,-1.93600e+003,0.00000e+000,0.00000e+000
-8.62528e+004,-3.55218e+002,2.60250e+001,2.48014e+001,1.67887e+002,1.55280e+001,5.98551e+000,1,6.80000e+001,-1.93200e+003,0.00000e+000,0.00000e+000
-8.60395e+004,-3.56113e+002,2.75558e+001,2.62603e+001,1.77762e+002,1.64409e+001,6.27877e+000,1,7.20000e+001,-1.92800e+003,0.00000e+000,0.00000e+000
-8.58263e+004,-3.57008e+002,2.90867e+001,2.77192e+001,1.87637e+002,1.73537e+001,6.57204e+000,1,7.60000e+001,-1.92400e+003,0.00000e+000,0.00000e+000
-8.56130e+004,-3.57903e+002,3.06176e+001,2.91781e+001,1.97512e+002,1.82665e+001,6.86530e+000,1,8.00000e+001,-1.92000e+003,0.00000e+000,0.00000e+000
-8.54682e+004,-3.58259e+002,2.83455e+001,2.83378e+001,1.88047e+002,1.75319e+001,6.61877e+000,1,8.40000e+001,-1.91600e+003,0.00000e+000,0.00000e+000
-8.53234e+004,-3.58615e+002,2.60734e+001,2.74976e+001,1.78582e+002,1.67972e+001,6.37225e+000,1,8.80000e+001,-1.91200e+003,0.00000e+000,0.00000e+000
-8.51786e+004,-3.58971e+002,2.38013e+001,2.66573e+001,1.69117e+002,1.60625e+001,6.12572e+000,1,9.20000e+001,-1.90800e+003,0.00000e+000,0.00000e+000
-8.50338e+004,-3.59327e+002,2.15292e+001,2.58171e+001,1.59651e+002,1.53278e+001,5.87919e+000,1,9.60000e+001,-1.90400e+003,0.00000e+000,0.00000e+000
-8.48889e+004,-3.59683e+002,1.92571e+001,2.49768e+001,1.50186e+002,1.45932e+001,5.63267e+000,1,1.00000e+002,-1.90000e+003,0.00000e+000,0.00000e+000
-8.47441e+004,-3.60039e+002,1.69850e+001,2.41366e+001,1.40721e+002,1.38585e+001,5.38614e+000,1,1.04000e+002,-1.89600e+003,0.00000e+000,0.00000e+000
-8.45993e+004,-3.60395e+002,1.47129e+001,2.32963e+001,1.31256e+002,1.31238e+001,5.13961e+000,1,1.08000e+002,-1.89200e+003,0.00000e+000,0.00000e+000
-8.44545e+004,-3.60751e+002,1.24408e+001,2.24561e+001,1.21791e+002,1.23892e+001,4.89309e+000,1,1.12000e+002,-1.88800e+003,0.00000e+000,0.00000e+000
-8.43097e+004,-3.61107e+002,1.01687e+001,2.16158e+001,1.12326e+002,1.16545e+001,4.64656e+000,1,1.16000e+002,-1.88400e+003,0.00000e+000,0.00000e+000
-8.41649e+004,-3.61463e+002,7.89662e+000,2.07756e+001,1.02861e+002,1.09198e+001,4.40003e+000,1,1.20000e+002,-1.88000e+003,0.00000e+000,0.00000e+000
-8.40201e+004,-3.61819e+002,5.62453e+000,1.99353e+001,9.33957e+001,1.01852e+001,4.15350e+000,1,1.24000e+002,-1.87600e+003,0.00000e+000,0.00000e+000
-8.38753e+004,-3.62174e+002,3.35243e+000,1.90951e+001,8.39306e+001,9.45050e+000,3.90698e+000,1,1.28000e+002,-1.87200e+003,0.00000e+000,0.00000e+000
