"p","U:0","U:1","U:2","k","nut","omega","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.19720e+004,-3.40000e+002,0.00000e+000,0.00000e+000,1.00000e-002,1.00000e-002,1.00000e+000,1,0.00000e+000,-2.00000e+003,0.00000e+000,0.00000e+000
-8.19187e+004,-3.32666e+002,1.78438e+000,1.88986e+000,1.49844e+000,2.61132e-001,1.11274e+000,1,4.00000e+000,-1.99600e+003,0.00000e+000,0.00000e+000
-8.18653e+004,-3.25333e+002,3.56877e+000,3.77971e+000,2.98689e+000,5.12264e-001,1.22548e+000,1,8.00000e+000,-1.99200e+003,0.00000e+000,0.00000e+000
-8.18119e+004,-3.17999e+002,5.35315e+000,5.66957e+000,4.47533e+000,7.63397e-001,1.33822e+000,1,1.20000e+001,-1.98800e+003,0.00000e+000,0.00000e+000
-8.17585e+004,-3.10666e+002,7.13754e+000,7.55942e+000,5.96377e+000,1.01453e+000,1.45096e+000,1,1.60000e+001,-1.98400e+003,0.00000e+000,0.00000e+000
-8.17051e+004,-3.03332e+002,8.92192e+000,9.44928e+000,7.45221e+000,1.26566e+000,1.56370e+000,1,2.00000e+001,-1.98000e+003,0.00000e+000,0.00000e+000
-8.16517e+004,-2.95999e+002,1.07063e+001,1.13391e+001,8.94066e+000,1.51679e+000,1.67644e+000,1,2.40000e+001,-1.97600e+003,0.00000e+000,0.00000e+000
-8.15983e+004,-2.88665e+002,1.24907e+001,1.32290e+001,1.04291e+001,1.76793e+000,1.78918e+000,1,2.80000e+001,-1.97200e+003,0.00000e+000,0.00000e+000
-8.15450e+004,-2.81331e+002,1.42751e+001,1.51188e+001,1.19175e+001,2.01906e+000,1.90192e+000,1,3.20000e+001,-1.96800e+003,0.00000e+000,0.00000e+000
-8.14916e+004,-2.73998e+002,1.60595e+001,1.70087e+001,1.34060e+001,2.27019e+000,2.01466e+000,1,3.60000e+001,-1.96400e+003,0.00000e+000,0.00000e+000
